source,target,weight
228,294,1
228,38,5
228,1225,1
228,377,17
228,259,1
228,459,2
228,928,1
228,54,28
228,80,1
228,1049,1
228,16,1
228,777,1
228,1106,3
228,426,2
228,839,3
228,18,8
228,246,1
228,269,3
228,2,2
228,252,1
228,373,1
228,397,2
228,251,13
228,410,1
228,63,5
228,92,3
228,4,36
228,75,2
228,114,1
228,545,9
228,127,3
228,769,2
228,267,14
228,290,3
228,394,2
228,479,2
228,9,2
228,57,11
228,541,12
228,173,1
228,1054,3
228,158,2
228,893,1
228,276,1
228,95,1
228,687,3
228,207,5
228,932,1
228,202,13
228,288,6
228,393,1
228,694,1
228,78,1
228,368,2
228,286,2
228,52,4
228,44,18
228,3,50
228,112,4
228,557,1
228,171,7
228,241,3
228,126,2
228,307,4
228,39,15
228,7,72
239,103,27
239,167,1
239,539,1
239,944,1
239,683,1
239,16,1
239,973,1
239,414,4
239,922,1
239,1276,1
239,584,1
239,9,5
239,58,31
239,238,3
239,229,1
239,32,7
239,11,61
239,851,1
239,704,1
239,314,2
239,974,1
239,172,1
239,155,8
239,72,1
239,719,1
239,559,1
103,239,27
103,944,7
103,453,14
103,16,3
103,522,1
103,569,1
103,414,5
103,922,9
103,1016,1
103,181,1
103,222,1
103,954,7
103,743,9
103,9,6
103,436,1
103,58,27
103,238,16
103,229,3
103,32,9
103,11,103
103,314,1
103,376,13
103,172,2
103,155,2
103,72,3
103,480,14
103,396,15
103,492,5
178,129,11
178,117,4
178,377,1
178,661,12
178,1258,1
178,526,15
178,16,8
178,1266,1
178,106,4
178,403,1
178,835,1
178,1053,2
178,105,2
178,9,7
178,529,1
178,17,139
178,503,1
178,188,1
178,340,2
178,413,2
178,533,4
178,481,1
178,849,12
560,1131,3
560,1,6
560,64,1
560,167,1
560,313,1
560,93,9
560,728,2
560,16,1
560,83,2
560,488,4
560,13,6
560,34,1
560,60,7
560,576,1
560,69,1
560,412,3
560,225,2
560,217,2
560,160,4
560,146,4
560,128,5
560,165,3
560,9,2
560,1007,1
560,558,1
560,827,1
560,107,2
560,1193,1
560,101,1
560,365,7
560,993,1
560,398,1
1111,612,2
1111,136,5
1111,95,1
1111,597,1
698,264,10
698,1,15
698,64,1
698,76,6
698,13,1
698,60,1
698,358,1
698,837,8
698,335,8
698,107,1
698,398,2
698,498,2
698,344,2
698,244,10
660,16,4
660,1052,1
660,998,2
660,4,1
660,9,1
660,761,3
660,44,1
660,721,4
306,148,4
306,116,1
306,459,3
306,582,1
306,25,23
306,77,2
306,138,4
306,151,2
306,223,5
306,42,3
306,2,37
306,141,1
306,29,2
306,152,3
306,373,1
306,304,1
306,397,1
306,145,5
306,4,1
306,26,2
306,556,3
306,479,3
306,56,7
306,81,1
306,9,2
306,79,25
306,369,3
306,484,6
306,418,1
306,153,30
306,201,2
306,111,1
306,194,1
306,15,1
306,738,7
306,14,6
306,44,2
306,150,15
306,157,1
306,696,2
306,860,1
306,67,4
306,319,2
306,237,1
61,433,3
61,212,5
61,23,4
61,778,1
61,167,1
61,297,11
61,162,12
61,637,5
61,70,16
61,570,1
61,243,3
61,730,2
61,80,1
61,508,1
61,1228,1
61,320,1
61,131,1
61,389,12
61,28,38
61,959,13
61,588,8
61,590,2
61,565,4
61,252,1
61,121,3
61,685,6
61,470,3
61,614,1
61,486,2
61,143,1
61,943,1
61,100,13
61,41,5
61,6,27
61,9,5
61,458,1
61,85,62
61,351,2
61,170,12
61,600,1
61,568,7
61,536,1
61,90,47
61,24,15
61,875,2
61,197,46
61,865,1
61,460,10
61,310,1
61,101,1
61,472,5
61,345,27
61,19,61
61,378,1
61,78,1
61,273,3
61,110,18
61,289,4
61,33,2
61,45,52
61,149,13
61,66,16
995,341,1
995,16,2
995,390,2
995,689,1
995,879,1
995,135,1
995,118,1
995,143,1
995,86,1
995,220,1
995,125,2
995,693,1
995,5,3
995,421,1
129,178,11
129,117,70
129,671,5
129,661,2
129,437,12
129,292,25
129,526,4
129,80,1
129,16,1
129,566,5
129,106,61
129,403,9
129,1029,1
129,835,2
129,1053,1
129,9,1
129,529,11
129,17,73
129,503,12
129,704,1
129,763,1
129,188,4
129,413,10
129,78,1
129,468,10
1080,93,2
1080,1175,1
1080,655,2
1080,9,1
516,294,1
516,495,2
516,35,2
516,50,7
516,507,1
516,49,18
516,506,1
516,37,9
516,754,1
516,147,9
516,278,7
516,630,1
516,40,2
516,22,8
516,59,3
516,372,2
516,21,9
516,124,7
516,299,2
516,218,4
516,53,9
516,260,10
516,107,1
516,187,3
516,387,1
516,30,1
516,36,3
516,10,4
516,20,8
898,130,1
898,341,2
898,143,3
898,402,2
898,220,4
898,125,1
898,5,7
898,421,4
898,196,5
117,178,4
117,129,70
117,671,4
117,661,2
117,437,9
117,292,34
117,526,5
117,80,1
117,16,4
117,566,6
117,106,48
117,403,29
117,1029,3
117,835,3
117,1053,3
117,9,2
117,529,10
117,17,53
117,503,7
117,704,1
117,188,3
117,340,1
117,413,30
117,78,1
117,468,15
294,228,1
294,516,1
294,328,13
294,861,3
294,845,1
294,38,2
294,115,14
294,1,10
294,64,10
294,35,3
294,211,1
294,102,1
294,313,1
294,493,1
294,50,2
294,76,6
294,12,1
294,219,3
294,119,1
294,49,1
294,54,1
294,37,1
294,248,1
294,80,1
294,1049,1
294,16,1
294,1038,2
294,60,1
294,416,1
294,40,3
294,2,2
294,22,3
294,142,1
294,59,1
294,680,2
294,372,2
294,21,4
294,797,1
294,73,1
294,69,2
294,161,1
294,682,1
294,373,1
294,324,1
294,889,1
294,432,1
294,711,1
294,440,5
294,257,1
294,469,1
294,517,2
294,311,1
294,9,5
294,342,2
294,57,2
294,86,1
294,541,1
294,482,1
294,543,1
294,247,1
294,317,1
294,156,1
294,438,1
294,299,1
294,343,1
294,183,1
294,1216,1
294,429,2
294,31,1
294,236,1
294,53,3
294,260,1
294,692,3
294,95,1
294,144,1
294,174,1
294,8,6
294,187,1
294,5,2
294,932,1
294,202,4
294,387,1
294,744,5
294,14,1
294,454,2
294,464,1
294,602,1
294,3,7
294,36,1
294,232,1
294,10,6
294,0,6
294,809,2
294,20,4
294,307,1
294,87,1
294,7,6
294,766,1
328,294,13
328,332,1
328,115,31
328,552,1
328,474,1
328,1,31
328,208,1
328,46,1
328,64,33
328,102,4
328,313,2
328,76,19
328,829,1
328,83,1
328,13,4
328,34,1
328,60,3
328,467,1
328,358,2
328,69,6
328,440,16
328,27,1
328,9,4
328,645,1
328,624,1
328,71,1
328,183,1
328,236,1
328,692,7
328,95,1
328,1187,1
328,101,1
328,744,11
328,498,1
861,294,3
861,35,5
861,263,1
861,49,1
861,37,1
861,248,1
861,1038,3
861,691,1
861,22,8
861,59,1
861,21,4
861,209,1
861,53,4
861,387,2
861,504,1
861,36,1
861,10,6
861,48,1
861,230,1
861,20,4
745,707,7
745,612,5
745,281,4
745,597,4
845,294,1
845,797,1
845,682,2
845,432,1
845,469,9
845,186,1
845,379,1
845,51,4
845,31,2
845,8,5
845,602,2
433,61,3
433,212,28
433,23,1
433,162,2
433,70,5
433,734,2
433,508,6
433,1089,2
433,28,16
433,588,1
433,565,4
433,470,1
433,614,3
433,759,1
433,6,10
433,85,1
433,90,1
433,24,8
433,792,1
433,107,2
433,197,3
433,19,14
433,78,1
433,110,6
433,45,1
433,149,2
332,328,1
332,115,2
332,264,2
332,826,2
332,552,2
332,474,2
332,1,44
332,154,3
332,208,3
332,46,18
332,64,5
332,167,1
332,74,1
332,313,1
332,99,1
332,76,2
332,829,2
332,83,1
332,425,1
332,13,11
332,34,9
332,60,2
332,452,5
332,467,1
332,358,3
332,69,2
332,490,1
332,828,1
332,245,1
332,27,3
332,200,1
332,160,2
332,128,2
332,165,1
332,625,1
332,9,2
332,1007,2
332,71,20
332,183,3
332,335,1
332,409,1
332,95,1
332,1187,1
332,101,2
332,787,1
332,325,3
332,78,1
332,666,1
332,362,1
332,179,3
332,498,2
332,936,1
332,344,1
332,244,6
1011,683,3
1011,172,2
1011,1150,1
38,228,5
38,294,2
38,167,2
38,284,12
38,205,19
38,277,1
38,466,29
38,493,16
38,259,17
38,308,14
38,511,2
38,54,47
38,16,1
38,940,1
38,329,29
38,431,6
38,881,3
38,104,26
38,678,1
38,714,1
38,535,1
38,839,2
38,18,34
38,204,1
38,246,1
38,123,45
38,1167,1
38,1135,1
38,395,19
38,169,27
38,656,1
38,360,2
38,164,8
38,576,2
38,1064,1
38,424,2
38,494,1
38,251,1
38,84,50
38,564,14
38,63,15
38,617,9
38,92,31
38,4,46
38,257,31
38,885,1
38,919,4
38,75,54
38,835,1
38,381,2
38,253,9
38,114,21
38,545,3
38,127,8
38,267,1
38,517,19
38,9,6
38,184,21
38,57,25
38,173,1
38,422,6
38,1137,4
38,158,75
38,703,5
38,405,2
38,316,7
38,1126,1
38,981,1
38,918,5
38,471,3
38,276,23
38,679,1
38,95,2
38,979,4
38,207,3
38,1087,1
38,107,5
38,101,1
38,1201,1
38,932,2
38,202,11
38,302,1
38,530,22
38,133,27
38,368,7
38,286,36
38,464,14
38,984,2
38,52,3
38,44,3
38,3,153
38,574,2
38,112,2
38,533,1
38,233,3
38,904,1
38,557,2
38,301,8
38,171,1
38,527,4
38,241,10
38,182,27
38,166,25
38,126,86
38,307,5
38,772,3
38,39,43
38,7,55
1131,560,3
1131,1,5
1131,488,3
1131,13,2
1131,9,1
1131,398,1
115,294,14
115,328,31
115,332,2
115,636,1
115,264,1
115,826,1
115,474,1
115,1,90
115,154,2
115,208,2
115,46,8
115,64,66
115,74,10
115,102,5
115,313,3
115,93,2
115,99,1
115,655,2
115,76,36
115,829,1
115,240,1
115,83,2
115,425,3
115,13,22
115,34,9
115,60,18
115,467,1
115,576,1
115,358,1
115,69,11
115,412,1
115,245,3
115,440,32
115,27,15
115,789,1
115,9,6
115,415,1
115,1007,1
115,599,1
115,71,2
115,183,4
115,335,1
115,236,1
115,692,19
115,409,2
115,95,3
115,101,3
115,784,1
115,325,1
115,78,1
115,365,3
115,744,7
115,362,2
115,498,4
115,344,2
115,244,2
636,115,1
636,474,8
636,1,10
636,167,1
636,74,2
636,93,1
636,870,1
636,13,5
636,34,1
636,60,1
636,467,5
636,27,1
636,225,1
636,160,1
636,146,1
636,128,1
636,415,9
636,599,9
636,183,1
636,95,1
636,784,5
636,325,1
636,631,1
975,6,12
975,9,1
975,24,12
975,33,4
975,108,3
790,930,1
790,857,2
790,555,2
790,455,1
790,582,1
790,542,1
790,737,2
790,1118,1
929,657,1
929,16,1
929,601,3
929,753,1
929,652,4
929,9,1
929,8,4
264,698,10
264,332,2
264,115,1
264,1,64
264,64,5
264,76,33
264,452,1
264,69,2
264,837,6
264,1001,2
264,9,1
264,1101,2
264,183,1
264,335,38
264,409,1
264,179,1
264,398,4
264,498,4
264,344,22
264,244,44
1257,9,1
1257,125,1
1257,5,1
1023,25,1
1023,80,3
1023,2,3
1023,26,1
1023,79,3
1023,111,6
1023,14,4
1023,67,1
1023,319,1
1023,237,6
212,61,5
212,433,28
212,23,1
212,1213,1
212,162,3
212,70,14
212,734,1
212,401,1
212,1088,3
212,80,6
212,522,1
212,508,17
212,28,32
212,588,2
212,565,5
212,470,7
212,614,5
212,486,1
212,759,1
212,6,22
212,9,4
212,85,4
212,90,1
212,24,14
212,792,1
212,107,4
212,197,3
212,101,1
212,19,55
212,78,1
212,773,1
212,110,9
212,45,4
212,149,4
826,332,2
826,115,1
826,1,18
826,154,1
826,46,1
826,102,4
826,313,1
826,76,3
826,60,5
826,358,1
826,69,5
826,27,2
826,9,1
826,71,1
826,183,1
826,95,1
826,101,1
826,509,3
826,398,1
1225,228,1
1225,80,1
1225,1049,1
1225,16,1
1225,9,1
1225,3,1
1225,7,1
23,61,4
23,433,1
23,212,1
23,195,6
23,1,1
23,337,7
23,632,1
23,297,26
23,162,5
23,377,1
23,955,1
23,1094,1
23,842,1
23,70,10
23,1012,4
23,1123,2
23,1063,3
23,1129,2
23,357,31
