id,label,class,pagerank
0,韦小宝,韦小宝,33.905
1,令狐冲,令狐冲,20.1766
2,张无忌,张无忌,19.7111
3,郭靖,郭靖,15.8956
4,杨过,杨过,14.5438
5,袁承志,袁承志,13.7979
6,段誉,段誉,13.7219
7,黄蓉,郭靖,13.5701
8,胡斐,胡斐,13.1232
9,汉子,令狐冲,12.9527
10,陈家洛,陈家洛,9.3365
11,石破天,石破天,8.105
12,吴三桂,韦小宝,7.7415
13,岳不群,令狐冲,7.326
14,赵敏,张无忌,7.1658
15,谢逊,张无忌,6.7785
16,大汉,韦小宝,6.5002
17,狄云,狄云,6.1939
18,小龙女,杨过,6.1286
19,虚竹,段誉,5.7382
20,骆冰,陈家洛,5.6517
21,文泰来,陈家洛,5.6446
22,徐天宏,陈家洛,5.5403
23,乔峰,段誉,5.4595
24,王语嫣,段誉,5.2779
25,周芷若,张无忌,5.2236
26,杨逍,张无忌,5.2122
27,林平之,令狐冲,5.1615
28,慕容复,段誉,5.156
29,张翠山,张无忌,4.9306
30,赵半山,陈家洛,4.8979
31,程灵素,胡斐,4.8914
32,石清,石破天,4.6886
33,阿朱,段誉,4.6831
34,岳灵珊,令狐冲,4.5618
35,余鱼同,陈家洛,4.4465
36,陆菲青,陈家洛,4.28
37,周绮,陈家洛,4.0962
38,丘处机,郭靖,4.0878
39,黄药师,郭靖,4.0774
40,张召重,陈家洛,4.0756
41,段正淳,段誉,4.0724
42,张三丰,张无忌,4.0258
43,双儿,韦小宝,4.0027
44,郭襄,杨过,3.9301
45,阿紫,段誉,3.8538
46,仪琳,令狐冲,3.829
47,陈近南,韦小宝,3.7596
48,霍青桐,陈家洛,3.6783
49,周仲英,陈家洛,3.6013
50,卫春华,陈家洛,3.5956
51,福康安,胡斐,3.5232
52,郭芙,杨过,3.4936
53,章进,陈家洛,3.4861
54,周伯通,郭靖,3.4505
55,苗人凤,胡斐,3.3959
56,殷梨亭,张无忌,3.3902
57,洪七公,郭靖,3.3711
58,白万剑,石破天,3.3269
59,心砚,陈家洛,3.3071
60,左冷禅,令狐冲,3.2233
61,丁春秋,段誉,3.2091
62,李沅芷,陈家洛,3.1899
63,李莫愁,杨过,3.1809
64,任我行,令狐冲,3.1648
65,木婉清,段誉,3.1037
66,鸠摩智,段誉,3.0947
67,韦一笑,张无忌,3.0511
68,徐天川,韦小宝,3.0246
69,方证,令狐冲,2.9057
70,包不同,段誉,2.8777
71,田伯光,令狐冲,2.8573
72,闵柔,石破天,2.853
73,方怡,韦小宝,2.8349
74,余沧海,令狐冲,2.8347
75,柯镇恶,郭靖,2.7996
76,向问天,令狐冲,2.7922
77,宋远桥,张无忌,2.7898
78,说不得,张无忌,2.7852
79,灭绝师太,张无忌,2.7836
80,哑巴,袁承志,2.7532
81,殷素素,张无忌,2.7494
82,马春花,胡斐,2.7288
83,定逸,令狐冲,2.5433
84,朱聪,郭靖,2.5423
85,游坦之,段誉,2.5024
86,洪胜海,袁承志,2.4925
87,鳌拜,韦小宝,2.4869
88,空智,张无忌,2.3983
89,钟灵,段誉,2.3884
90,玄难,段誉,2.3769
91,小桂子,韦小宝,2.3689
92,杨康,郭靖,2.3498
93,刘正风,令狐冲,2.3272
94,周颠,张无忌,2.3238
95,老头子,令狐冲,2.3076
96,殷天正,张无忌,2.2962
97,沐剑屏,韦小宝,2.2802
98,郑克爽,韦小宝,2.2753
99,劳德诺,令狐冲,2.2752
100,段延庆,段誉,2.271
101,莫大,令狐冲,2.2681
102,冲虚,令狐冲,2.244
103,丁不四,石破天,2.2379
104,完颜洪烈,郭靖,2.2354
105,水笙,狄云,2.234
106,戚芳,狄云,2.2195
107,胖子,郭靖,2.1967
108,阿碧,段誉,2.1869
109,袁紫衣,胡斐,2.1854
110,邓百川,段誉,2.163
111,范遥,张无忌,2.1578
112,金轮法王,杨过,2.1501
113,空闻,张无忌,2.145
114,梅超风,郭靖,2.1223
115,东方不败,令狐冲,2.1178
116,俞岱岩,张无忌,2.1172
117,万震山,狄云,2.1083
118,归辛树,袁承志,2.1076
119,吴应熊,韦小宝,2.107
120,焦宛儿,袁承志,2.0807
121,朱丹臣,段誉,2.0458
122,田归农,胡斐,2.0275
123,尹志平,郭靖,2.025
124,杨成协,陈家洛,2.0113
125,程青竹,袁承志,2.0096
126,马钰,郭靖,2.0079
127,欧阳克,郭靖,1.9997
128,桃根仙,令狐冲,1.9959
129,万圭,狄云,1.9944
130,何铁手,袁承志,1.9783
131,巴天石,段誉,1.9773
132,茅十八,韦小宝,1.9749
133,赵志敬,郭靖,1.9493
134,苏普,苏普,1.9416
135,归二娘,袁承志,1.9398
136,李文秀,苏普,1.9318
137,风际中,韦小宝,1.9285
138,宋青书,张无忌,1.9129
139,李自成,韦小宝,1.9116
140,索额图,韦小宝,1.9002
141,张松溪,张无忌,1.8987
142,徐铮,胡斐,1.8922
143,梅剑和,袁承志,1.8662
144,胖头陀,韦小宝,1.8572
145,杨不悔,张无忌,1.8543
146,桃枝仙,令狐冲,1.8529
147,孟健雄,陈家洛,1.8491
148,何太冲,张无忌,1.83
149,风波恶,段誉,1.8217
150,金花婆婆,张无忌,1.8171
151,小昭,张无忌,1.8171
152,彭莹玉,张无忌,1.7944
153,纪晓芙,张无忌,1.7829
154,仪和,令狐冲,1.7806
155,贝海石,石破天,1.7732
156,王剑英,胡斐,1.7731
157,陈友谅,张无忌,1.7661
158,王处一,郭靖,1.7645
159,圆真,张无忌,1.7451
160,桃干仙,令狐冲,1.7265
161,施琅,韦小宝,1.7123
162,公冶乾,段誉,1.7117
163,商宝震,胡斐,1.7087
164,拖雷,郭靖,1.7079
165,桃花仙,令狐冲,1.7047
166,韩小莹,郭靖,1.7036
167,何足道,杨过,1.7034
168,黄真,袁承志,1.6957
169,彭连虎,郭靖,1.6821
170,玄慈,段誉,1.6777
171,陆无双,杨过,1.6775
172,谢烟客,石破天,1.6518
173,潇湘子,杨过,1.6497
174,胡大哥,胡斐,1.6386
175,李可秀,陈家洛,1.635
176,阿曼,苏普,1.6313
177,王夫人,段誉,1.6304
178,丁典,狄云,1.6272
179,陆大有,令狐冲,1.6134
180,商老太,胡斐,1.6102
181,张三,石破天,1.5953
182,韩宝驹,郭靖,1.5894
183,祖千秋,令狐冲,1.5876
184,沙通天,郭靖,1.5831
185,吴六奇,韦小宝,1.5732
186,汤沛,胡斐,1.5703
187,蒋四根,陈家洛,1.5644
188,花铁干,狄云,1.5601
189,成昆,张无忌,1.5536
190,赵钱孙,段誉,1.5514
191,马行空,胡斐,1.5376
192,曹云奇,陶子安,1.5371
193,孙仲寿,袁承志,1.5359
194,莫声谷,张无忌,1.5353
195,云中鹤,段誉,1.526
196,闵子华,袁承志,1.5237
197,苏星河,段誉,1.5224
198,李力世,韦小宝,1.5191
199,阿九,袁承志,1.5121
200,林震南,令狐冲,1.512
201,胡青牛,张无忌,1.5069
202,裘千仞,郭靖,1.4915
203,穆人清,袁承志,1.4887
204,少妇,陈家洛,1.4776
205,全金发,郭靖,1.4703
206,钱老本,韦小宝,1.4625
207,耶律齐,杨过,1.461
208,仪清,令狐冲,1.4592
209,木卓伦,陈家洛,1.4496
210,何惕守,袁承志,1.4491
211,冯锡范,韦小宝,1.4441
212,乌老大,段誉,1.4433
213,崔希敏,袁承志,1.4415
214,马夫人,段誉,1.4336
215,吴立身,韦小宝,1.4307
216,崔秋山,袁承志,1.4296
217,桃实仙,令狐冲,1.4251
218,石双英,陈家洛,1.4238
219,吴之荣,韦小宝,1.419
220,焦公礼,袁承志,1.4143
221,钟万仇,段誉,1.4105
222,李四,石破天,1.4094
223,常遇春,张无忌,1.4031
224,苏鲁克,苏普,1.3953
225,桃叶仙,令狐冲,1.3913
226,胡一刀,胡斐,1.3893
227,胡桂南,袁承志,1.3891
228,一灯大师,郭靖,1.3873
229,石中玉,石破天,1.3856
230,顾金标,陈家洛,1.3854
231,宝树,张无忌,1.3739
232,陆高轩,韦小宝,1.3681
233,铁木真,郭靖,1.3677
234,陈正德,陈家洛,1.3654
235,九难,韦小宝,1.3625
236,空见,张无忌,1.3582
237,鹿杖客,张无忌,1.3405
238,白自在,石破天,1.3397
239,丁不三,石破天,1.3397
240,天门道人,令狐冲,1.3346
241,霍都,杨过,1.3341
242,白振,陈家洛,1.327
243,叶二娘,段誉,1.3228
244,黑白子,令狐冲,1.316
245,木高峰,令狐冲,1.3152
246,尹克西,杨过,1.3091
247,温青,袁承志,1.3062
248,哈合台,陈家洛,1.3049
249,殷离,张无忌,1.299
250,白寒枫,韦小宝,1.2985
